index,s,d_offset,x,y,yaw_deg
96,194.093,0.0,-30.094699999999996,-86.5798,107.605
97,196.047,0.0,-30.685599999999997,-84.7175,105.843
98,198.001,0.0,-31.218999999999998,-82.838,104.035
99,200.057,0.0,-31.717799999999997,-80.8429,102.227
100,202.011,0.0,-32.131499999999996,-78.9334,100.502
101,204.057,0.0,-32.5045,-76.9215,99.579
102,206.067,0.0,-32.839,-74.9394,99.5
103,208.067,0.0,-33.1691,-72.9669,99.5
104,210.067,0.0,-33.4992,-70.9943,99.5
105,212.067,0.0,-33.829299999999996,-69.0217,99.473
106,214.073,0.0,-34.1594,-67.04339999999999,98.673
107,216.016,0.0,-34.4524,-65.1229,97.086
108,218.066,0.0,-34.705299999999994,-63.087999999999994,95.472
109,220.014,0.0,-34.891099999999994,-61.149,93.951
110,222.052,0.0,-35.031499999999994,-59.116,93.41
111,224.054,0.0,-35.150499999999994,-57.1183,92.954
112,226.089,0.0,-35.255399999999995,-55.085699999999996,91.509
113,228.034,0.0,-35.306599999999996,-53.1412,90.066
114,230.069,0.0,-35.309,-51.1061,86.181
115,232.051,0.0,-35.1772,-49.131699999999995,73.754
116,234.057,0.0,-34.61709999999999,-47.2097,60.456
117,236.061,0.0,-33.6312,-45.470299999999995,50.697
118,238.062,0.0,-32.3638,-43.922,40.96
119,240.048,0.0,-30.866999999999997,-42.622699999999995,28.318
120,242.035,0.0,-29.122099999999996,-41.6825,15.677
121,244.021,0.0,-27.2138,-41.146899999999995,3.343
122,246.019,0.0,-25.222399999999997,-41.0306,-0.397
123,248.019,0.0,-23.222499999999997,-41.044399999999996,-0.397
124,250.019,0.0,-21.222499999999997,-41.058299999999996,0.874
